,escola,corr_direta,tp_rede,uf,ind_disp,corr_ind,tx_progr,tx_evolucao,ideb_ai,ideb_af,tx_cresc_af,tx_cresc_ai
1747,22064206,-0.12424295588292858,Estadual,PI,4.378785220585357,-0.7344902637067937,0.1377298350982561,-0.2962962962962964,0.0,0.0,-0.16666666666666666,0.11111111111111104
1748,22064214,0.28385016665757,Municipal,PI,6.41925083328785,-0.21356481833411328,0.04652271318937995,0.02100840336134476,3.5,4.5,0.18421052631578952,0.2962962962962962
1749,22064249,-0.5141671091113806,Estadual,PI,2.4291644544430966,-0.5051591048145506,-0.17058270676691734,-0.45714285714285713,0.0,0.0,-0.18518518518518517,0.47368421052631576
1750,22058346,0.7004002636984563,Municipal,PI,8.502001318492281,0.03158883683491593,0.11594031984275888,-0.06873614190687348,4.5,4.2,0.3125,0.5
1751,22128638,0.9352672132551912,Municipal,PI,9.676336066275956,0.6332644714374738,0.057746697746697606,0.07368421052631574,3.9,3.4,1.4285714285714286,1.1666666666666665
1752,22128646,0.6513389472789298,Municipal,PI,8.25669473639465,-0.15958626340564344,-0.058730158730158855,0.7857142857142855,3.0,2.5,0.13636363636363627,-0.09090909090909086
1753,22116818,0.9133195408428573,Municipal,PI,9.566597704214287,0.7352146220938076,0.20553449791254663,-0.37,4.7,4.2,0.3548387096774194,0.9583333333333335
1754,22048421,0.7256012117662586,Municipal,PI,8.628006058831293,0.11663825048521186,-0.0588786764705882,-0.19135135135135134,5.4,4.4,0.33333333333333354,0.5882352941176472
1755,22078541,0.6280121048196642,Municipal,PI,8.14006052409832,0.8200979534384047,0.08205090979481233,-0.24324324324324334,0.0,0.0,0.4666666666666668,0.8571428571428573
1756,22059008,0.20462368309689516,Municipal,PI,6.0231184154844755,0.4923460715486211,-0.0330460297084173,-0.21052631578947367,3.5,3.0,0.0714285714285715,0.0
1757,22059318,0.4507277694615526,Municipal,PI,7.253638847307763,0.09184151623839411,0.005036191878297291,-0.26666666666666666,0.0,0.0,0.5599999999999999,0.15151515151515152
1758,22118799,0.7751554951321453,Municipal,PI,8.875777475660726,0.11278673705953657,0.02598778735632168,0.39770114942528745,4.0,3.8,0.35714285714285715,0.37931034482758624
1759,22100520,0.627479264364459,Municipal,PI,8.137396321822294,-0.5985425179700379,0.10355392156862764,2.294117647058824,4.1,4.9,1.4500000000000002,0.28124999999999983
1760,22020322,-0.025247373778531455,Municipal,PI,4.873763131107342,0.5136695068008397,0.03632925982063906,-0.29772079772079774,3.6,3.4,0.0,0.24137931034482765
1761,22020900,0.7076618056971764,Municipal,PI,8.538309028485882,0.22715759582216014,0.10443595769682723,-0.32352941176470595,0.0,3.2,0.4166666666666667,0.5217391304347827
1762,22110801,0.8694366560750141,Municipal,PI,9.34718328037507,-0.24401686285080834,0.19004296116848707,-0.24329004329004328,0.0,0.0,0.5833333333333334,0.7391304347826089
1763,22132287,0.31398545098417946,Municipal,PI,6.569927254920898,0.08080749189443197,0.13690045248868787,-0.10714285714285708,3.6,3.5,0.2962962962962962,0.8
1764,22041290,0.7964850367162486,Municipal,PI,8.982425183581244,-0.3368395655458047,0.14367600912851253,-0.25,6.1,5.0,0.4705882352941177,0.6052631578947368
1765,22021019,0.5786675848871208,Municipal,PI,7.893337924435604,0.1221409633104918,0.021005639097744222,-0.42857142857142866,3.7,0.0,0.1379310344827586,0.7083333333333333
1766,22119647,0.7653798338796821,Municipal,PI,8.826899169398411,0.7965228025417862,0.38450012631047104,0.08533653846153845,3.4,4.3,1.3888888888888888,0.619047619047619
1767,22050779,-0.1495696109387243,Municipal,PI,4.2521519453063785,0.1531928763564497,0.05777074242035307,-0.18444995864350713,4.6,3.1,-0.1388888888888889,0.48387096774193533
1768,22013695,0.9265427919036083,Municipal,PI,9.63271395951804,0.35921060405354954,-0.12068376068376063,0.6666666666666666,3.3,3.0,0.36363636363636354,0.1379310344827586
1769,22093885,0.9540554012139467,Municipal,PI,9.770277006069733,0.8690662553937027,0.02295999575551777,0.0594227504244483,0.0,4.5,0.4166666666666667,0.1874999999999999
1770,22092498,0.810735518027027,Municipal,PI,9.053677590135136,0.8660254037844389,0.06699507389162562,-0.0909090909090909,4.2,3.0,0.1538461538461538,0.44827586206896564
1771,22007270,0.9553302944424513,Municipal,PI,9.776651472212256,0.7205766921228921,0.0731225296442688,0.24999999999999992,0.0,0.0,0.3500000000000001,0.318181818181818
1772,22008659,0.844988603167786,Municipal,PI,9.22494301583893,-0.9866660700433731,0.04251377970543069,-0.47987616099071206,2.9,2.4,0.04347826086956526,-0.06451612903225812
1773,22038086,0.3891039310504056,Municipal,PI,6.945519655252028,0.768565017232608,0.1703062407758802,-0.4724137931034482,0.0,0.0,0.0,0.06451612903225798
1774,22085769,-0.04849444837696847,Municipal,PI,4.757527758115158,0.9563247157871203,0.08807189542483673,0.03443396226415082,0.0,4.3,-0.1698113207547169,-0.07843137254901951
1775,22064338,0.4621029008641007,Municipal,PI,7.310514504320503,0.09407541700055845,0.20829228243021336,-0.14807302231237307,3.3,4.0,0.6,0.5714285714285713
1776,22004181,0.9944065073025466,Municipal,PI,9.972032536512733,-0.38825818326655914,0.32471702471702457,0.07192982456140357,4.5,4.7,0.8076923076923077,0.7307692307692307
1777,22041516,0.8694026360284434,Municipal,PI,9.347013180142216,0.33828810184320146,-0.10368400315208826,0.20364741641337386,5.3,4.4,0.6923076923076924,0.9629629629629628
1778,22120319,-0.7181848464596077,Municipal,PI,1.409075767701962,-0.8260331876309022,0.21314964157706107,-0.2676547515257194,3.8,0.0,0.0,0.06451612903225798
1779,22131892,0.004006704820383542,Municipal,PI,5.020033524101918,0.9754172691319665,-0.26815476190476184,0.32987012987013,3.3,0.0,0.18518518518518517,0.29166666666666674
1780,22076735,0.7367165154616772,Municipal,PI,8.683582577308385,0.7725134035622643,-0.20143939393939403,0.46484374999999994,3.7,3.0,-0.3023255813953488,-0.25999999999999995
1781,22077430,0.3962397745572922,Municipal,PI,6.981198872786461,-0.430238279611073,0.08747967479674812,-0.6590909090909091,3.7,2.1,-0.3225806451612903,0.4800000000000001
1782,22134115,0.8382223963382586,Municipal,PI,9.191111981691293,-0.5666552950975104,-0.26111111111111107,-0.2500000000000001,2.9,2.4,-0.4,-0.14705882352941177
1783,22045023,0.4181210050035456,Municipal,PI,7.0906050250177275,0.4096440151864568,0.3629072681704262,-0.32142857142857145,3.9,0.0,0.3478260869565219,0.6000000000000001
1784,22095616,0.7707548277805008,Municipal,PI,8.853774138902503,0.4498898531905631,-0.13852407754846774,-0.02564102564102566,4.8,3.8,0.4615384615384614,0.7142857142857143
1785,22096680,-0.265538575725709,Municipal,PI,3.672307121371455,0.1347150628109126,-0.19791666666666652,-0.2727272727272727,0.0,0.0,-0.043478260869565064,0.625
1786,22098690,0.8857354485586936,Municipal,PI,9.428677242793468,-0.4007316022734383,-0.15927927927927943,0.6602316602316602,5.6,4.3,-0.08510638297872347,0.11999999999999993
1787,22133470,0.9001808023903553,Municipal,PI,9.500904011951777,-0.19966749769191605,0.01047697821891358,0.44780219780219804,3.7,3.4,0.21428571428571433,0.19354838709677422
1788,22037756,0.4214723136351908,Municipal,PI,7.107361568175953,0.5976943250313462,0.048409897292250204,-0.17279411764705874,5.1,3.6,0.3846153846153846,1.0399999999999998
1789,22037888,0.44104308813598614,Municipal,PI,7.205215440679931,-0.6061426456557819,0.16582697893972398,-0.2672697368421053,4.9,3.3,1.2,0.8148148148148149
1790,22038124,0.6285200831150627,Estadual,PI,8.142600415575313,0.9916381484994208,0.4726935582198739,-0.4078947368421052,0.0,4.8,0.31999999999999995,1.923076923076923
